qid	wikidata_label	geni_id	geni_name	verdict	our_father	our_mother	anchor_father	anchor_mother	decisive	withheld_because	one_is_the_other_parent	decided_by
Q104667329	Jan Chrapowicki	6000000082417218280		UNKNOWN (not in our tree)			6000000015346315050		no		no	
Q104686959	Praskovya Razumovskaya	6000000012472687466		UNKNOWN (not in our tree)			6000000012471621938	6000000012471976382	no		no	
Q104686959	Praskovya Razumovskaya	6000000190047717706		UNKNOWN (not in our tree)			6000000012471621938	6000000012471976382	no		no	
Q104717292	Anna Chreptowicz	6000000009204696656		UNKNOWN (not in our tree)			6000000014995901833	6000000014995952982	no		no	
Q104717292	Anna Chreptowicz	6000000044789920969		UNKNOWN (not in our tree)			6000000014995901833	6000000014995952982	no		no	
Q104717485	Fryderyk Sapieha	6000000012481742068	Fryderyk Sapieha-Koden	CONFIRMED	6000000003524249480		6000000003524249480	6000000003827674110	no	parents sit on one Wikidata item - the duplicate propagates upward	no	
Q104717485	Fryderyk Sapieha	6000000016365474593	Teodoras Sapiega	CONFIRMED	6000000003524249480		6000000003524249480	6000000003827674110	no	parents sit on one Wikidata item - the duplicate propagates upward	no	
Q104717503	Jan Zabrzeziński	6000000014879285733		UNKNOWN (not in our tree)			6000000041283656645	6000000012213042840	no		no	
Q104717503	Jan Zabrzeziński	6000000016762523446		UNKNOWN (not in our tree)			6000000041283656645	6000000012213042840	no		no	
Q104717657	Andrzej Ciechanowiecki	6000000014057713960		UNKNOWN (not in our tree)			6000000014058063503		no		no	
Q104717657	Andrzej Ciechanowiecki	6000000041631860370		UNKNOWN (not in our tree)			6000000014058063503		no		no	
Q104722956	Maryna Sapieha	6000000016366364225	Maryna Sapieha	UNKNOWN (no parent recorded)	6000000003524262535			6000000003524222659	no	candidates share a name - may be one person	no	
Q104722956	Maryna Sapieha	6000000222424689872		UNKNOWN (not in our tree)				6000000003524222659	no	candidates share a name - may be one person	no	
Q104723528	Anna Elżbieta Hlebowicz	6000000014194254374		UNKNOWN (not in our tree)			6000000014194613515		no		no	
Q104723528	Anna Elżbieta Hlebowicz	6000000212898802821		UNKNOWN (not in our tree)			6000000014194613515		no		no	
Q104774534	Laura Catherine Spencer	6000000007035445032		UNKNOWN (not in our tree)			6000000000496551635		no		no	
Q104774534	Laura Catherine Spencer	6000000014486246430		UNKNOWN (not in our tree)			6000000000496551635		no		no	
Q104782518	Armida Harby Cohen	6000000011028736869		UNKNOWN (not in our tree)			4086352979350049812		no		no	
Q104782518	Armida Harby Cohen	6000000024669851494		UNKNOWN (not in our tree)			4086352979350049812		no		no	
Q104798205	"James ""Jimmy"" Cox Brady, Jr."	300603152330007773		UNKNOWN (not in our tree)			6000000015320987469		no		no	
Q104798205	"James ""Jimmy"" Cox Brady, Jr."	6000000015320966636		UNKNOWN (not in our tree)			6000000015320987469		no		no	
Q104847161	Margaret Stirling	6000000009034502947		UNKNOWN (not in our tree)			6000000007698035249		no		no	
Q104847161	Margaret Stirling	6000000042792313373		UNKNOWN (not in our tree)			6000000007698035249		no		no	
Q1049387	Princess Nadejda Petrovna of Russia	6000000004128187325		UNKNOWN (not in our tree)				4789926567050075886	no		no	
Q1049387	Princess Nadejda Petrovna of Russia	6000000190048173173		UNKNOWN (not in our tree)				4789926567050075886	no		no	
Q1050358	Lengvenis	6000000008875946755	Lengvenis Simeon Gediminids	CONFIRMED	6000000003521266933	6000000001409339120		6000000001409339120	no	candidates share a name - may be one person	no	
Q1050358	Lengvenis	6000000053647216963		UNKNOWN (not in our tree)				6000000001409339120	no	candidates share a name - may be one person	no	
Q105063917	Natalya Chernyshyova	6000000006891254656		UNKNOWN (not in our tree)			6000000006705628514	6000000006706091187	no		no	
Q105063917	Natalya Chernyshyova	6000000190047298068		UNKNOWN (not in our tree)			6000000006705628514	6000000006706091187	no		no	
Q105086928	Jan Puzyna	6000000011706860304		UNKNOWN (not in our tree)				6000000000947318222	no		no	
Q105086928	Jan Puzyna	6000000202605400822		UNKNOWN (not in our tree)				6000000000947318222	no		no	
Q105086931	Piotr Puzyna	6000000003712140492		UNKNOWN (not in our tree)			6000000011706816302		no		no	
Q105086931	Piotr Puzyna	6000000192263787838		UNKNOWN (not in our tree)			6000000011706816302		no		no	
Q10513912	Xiao Xia	6000000021260901339		CONFIRMED	6000000021260901361		6000000021260901361		yes		yes	parents
Q10513912	Xiao Xia	6000000074733211860		CONTRADICTED	6000000021260901339		6000000021260901361		yes		yes	parents
Q105233146	Amey Briggs	6000000002482747957		UNKNOWN (not in our tree)			6000000002482700601	4516779179410076668	no		no	
Q105233146	Amey Briggs	6000000018224102901		UNKNOWN (not in our tree)			6000000002482700601	4516779179410076668	no		no	
