path,files,bytes,workflow_refs,pipeline_code_refs,test_refs,doc_refs,example_refs
paths_for_wikidata_isolates/Geni - Burkard Wilhelm Leist (1819-1906)- Jena_files/,51,4105875,0,0,0,0,
paths_for_wikidata_isolates/Geni - Burton DeWitt Watson (1925-2017)- Chiba_files/,54,4112865,0,0,0,0,
paths_for_wikidata_isolates/Geni - Børge Christian Jessen (1907-1993)_files/,57,4141914,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Adam Wilhelm Schalén (1902-1993)- Lund_files/,51,4110012,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Adolph Langberg (1850-1889)- Vadsø_files/,56,4192573,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Ferdinand Allen (1811-1871)- Frederiksberg_files/,50,4102299,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Franz Dørr (1879-1962)_files/,51,4103521,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Frederik Sundt-Hansen (1841-1907)- Stavanger_files/,52,4109744,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Gunnar Feilberg (1894-1972)- Hellerup_files/,57,4128573,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Gustaf Lundquist (1841-1917)- Uppsala_files/,58,4125452,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Gustaf Thomson (1824-1899)- Lund_files/,52,4105772,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Gustav Sparre Olsen (1903-1984)- Lillehammer_files/,55,4111750,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Johan Josef Ernst Wiman (1867-1944)- Uppsala_files/,51,4105691,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Johan Sverdrup Marstrander (1883-1965)- Oslo_files/,52,4109505,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Jørgen Wesenberg-Lund (1867-1955)- Hillerød_files/,56,4199487,0,0,0,0,
paths_for_wikidata_isolates/Geni - Carl Olof Hanner (1922-2015)_files/,51,4098307,0,0,0,0,
