geni_id,label,description,pair_count,is_collision
6000000009627088255,Isaac Read IV,1833 - 1897,2,yes
6000000009627231589,Clement Carrington Read II,10 Jan 1837 - 13 Jul 1893,2,yes
6000000009628740183,Isaac Read IV,1833 - 1897,2,yes
6000000009629135256,Louisa Cabell Read,born 14 May 1848,2,yes
6000000009638984680,Charles Venable Minor,born 3 Sep 1900,2,yes
6000000009640295404,Elias Olofsson Salin,1664 - 1718,2,yes
6000000009647708596,Oliver Burnham,11 Nov 1760 - 30 Apr 1846,2,yes
6000000009656247300,Anna von Tiesenhausen,died circa 1648,2,yes
6000000009686283202,Sylvia Pitkin,born 15 Sep 1895,2,yes
6000000009777268262,NN,born circa 1220,3,yes
6000000009968796089,NN de Bourbon,1518 - 1518,2,yes
6000000010119913375,Niohuru,born 1784,2,yes
6000000010119947555,Niohuru,born 1784,2,yes
6000000010138061509,Ann Suffield,13 Sep 1773 - 11 Dec 1775,2,yes
6000000010313484606,Filipa Gonçalves de Ávila,born circa 1520,2,yes
6000000010350648790,Malin Dominicidotter,died 1692,2,yes
6000000010409247550,Eva Christina Uggla,1754 - 1754,2,yes
6000000010494013880,Sulislaus I von der Lancken,born Bet 1198 and 1258,2,yes
6000000010515043943,Anders Andersson,born 1767,2,yes
6000000010533931532,María Magdalena Varela,4 Sep 1741 - 22 Jun 1816,2,yes
6000000010541239675,Frances Seligman,born circa 1876,2,yes
6000000010548798934,Jeanne de Rabastens,born circa 1360,2,yes
6000000010650485494,Elizabeth Martha Tickner,19 Jun 1873 - 17 Mar 1964,2,yes
6000000010679089547,Sigewulf,died 905,2,yes
6000000010882606561,Jeanne de Rabastens,born circa 1360,2,yes
6000000010933893578,Johann Adolf von Wrangell,1727 - 1774,2,yes
6000000011011309760,Etta Leigh Johnson,born 23 Oct 1876,2,yes
6000000011011364107,Nancy Lewis Johnson,6 Jul 1892 - 29 Nov 1989,2,yes
6000000011026047488,NN,born circa 1565,3,yes
6000000011038649270,Mallie Kennedy Christy,22 Dec 1869 - 2 Nov 1937,2,yes
6000000011060739724,Katherine Lyon,born 1686,2,yes
6000000011060742063,Elizabeth Lyon,born 1690,2,yes
6000000011060786428,Patrick Lyon,born 1679,2,yes
6000000011060820257,Alexander Lyon,born 1678,2,yes
6000000011082565417,Nancy Lewis Johnson,6 Jul 1892 - 29 Nov 1989,2,yes
6000000011082684685,Clement Carrington Read II,10 Jan 1837 - 13 Jul 1893,2,yes
