qid	geni_id	wikidata_label	geni_name	our_father	our_mother	their_father	their_mother	why
Q75244884	6000000002541166209	unknown mother of Magnus II, Earl of Orkney	Sybil de Dunbar	6000000003827576999	6000000026370171967	Q75532157	Q75532153	father: their Q75532157 carries 6000000003820968990, ours is 6000000003827576999 | mother: their Q75532153 carries 6000000003820968980, ours is 6000000026370171967
Q189095	6000000002694748735	Maximinus Daza	Gaius Valerius Galerius Maximinus Daia	6000000003828196593	6000000003827799233	Q172168	Q109446884	father: their Q172168 carries 6000000006101378871, ours is 6000000003828196593
Q16556142	6000000002775306168	Gunhilda	Gunhild Burizleifmeita Von Rugen av Venden	6000000012966079926	6000000015024970110	Q181896	Q9396741;Q75386627	father: their Q181896 carries 347774029580003520, ours is 6000000012966079926 | mother: their Q9396741 carries no Geni id | mother: their Q75386627 carries no Geni id
Q230031	6000000002833191342	Joan II of Navarre	Jeanne II de France reine de Navarre	6000000002791771362	6000000002836075198	Q8384	Q70590	mother: their Q70590 carries 6000000000628797008, ours is 6000000002836075198
Q18336830	6000000002837049030	清原道雄		6000000002836980534		Q17213407		father: their Q17213407 carries 6000000009827936989, ours is 6000000002836980534 | mother: none in our tree
Q75401020	6000000003097841339	Joyce la Zouche	Joyce la Zouche	6000000003098215108	6000000008508704002	Q20752960	Q3611715;Q2160835	father: their Q20752960 carries no Geni id | mother: their Q2160835 carries 6000000000208453297, ours is 6000000008508704002
Q940171	6000000003219694267	William de Valence, 1st Earl of Pembroke	Hugh le Despenser 1st & Last Earl of Winchester	6000000009553988849	6000000003219694303	Q257036	Q231788	father: their Q257036 carries 6000000002304345688, ours is 6000000009553988849 | mother: their Q231788 carries 6000000007593862015, ours is 6000000003219694303
Q61971054	6000000003243290614	Katherine de Clifford	Catherine de Clifford Baroness Greystoke	6000000007606420496	6000000003769917354	Q7359192	Q56373638	mother: their Q56373638 carries 6000000053049183109, ours is 6000000003769917354
Q61971028	6000000003243294006	Роберт Фицральф	Robert de Greystoke	6000000003243294025	6000000003243294034	Q7287488	Q61971030	father: their Q7287488 carries 6000000025403794863, ours is 6000000003243294025 | mother: their Q61971030 carries no Geni id
Q75290458	6000000003243309472	Margaret de Berkeley	Margaret de Berkeley	6000000003051159727	6000000003868967539	Q7795451	Q72383304	mother: their Q72383304 carries 6000000017619443168, ours is 6000000003868967539
